Month,Winner_Count,Loser_Count
2010-02-28,435.0,435.0
2010-03-31,435.0,435.0
2010-04-30,434.0,434.0
2010-05-31,435.9,435.9
2010-06-30,437.9,437.9
2010-07-31,439.0,439.0
2010-08-31,439.0,439.0
2010-09-30,439.0,439.0
2010-10-31,440.9,440.9
2010-11-30,443.9,443.9
2010-12-31,445.9,445.9
2011-01-31,448.9,448.9
2011-02-28,452.7,452.7
2011-03-31,454.0,454.0
2011-04-30,454.9,454.9
2011-05-31,456.9,456.9
2011-06-30,458.9,458.9
2011-07-31,461.9,461.9
2011-08-31,462.0,462.0
2011-09-30,462.0,462.0
2011-10-31,463.9,463.9
2011-11-30,468.8,468.8
2011-12-31,472.8,472.8
2012-01-31,475.8,475.8
2012-02-29,476.9,476.9
2012-03-31,478.9,478.9
2012-04-30,481.9,481.9
2012-05-31,483.9,483.9
2012-06-30,486.9,486.9
2012-07-31,488.0,488.0
2012-08-31,491.8,491.8
2012-09-30,492.9,492.9
2012-10-31,495.9,495.9
2012-11-30,499.8,499.8
2012-12-31,499.0,499.0
2013-01-31,500.9,500.9
2013-02-28,501.9,501.9
2013-03-31,502.0,502.0
2013-04-30,502.9,502.9
2013-05-31,502.0,502.0
2013-06-30,502.9,502.9
2013-07-31,504.0,504.0
2013-08-31,504.0,504.0
2013-09-30,504.0,504.0
2013-10-31,505.0,505.0
2013-11-30,506.0,506.0
2013-12-31,508.9,508.9
2014-01-31,512.8,512.8
2014-02-28,516.8,516.8
2014-03-31,516.0,516.0
2014-04-30,516.0,516.0
2014-05-31,517.9,517.9
2014-06-30,517.0,517.0
2014-07-31,517.0,517.0
2014-08-31,518.9,518.9
2014-09-30,519.0,519.0
2014-10-31,520.0,520.0
2014-11-30,521.9,521.9
2014-12-31,522.0,522.0
2015-01-31,525.8,525.8
2015-02-28,526.9,526.9
2015-03-31,527.0,527.0
2015-04-30,528.0,528.0
2015-05-31,528.0,528.0
2015-06-30,527.0,527.0
2015-07-31,528.0,528.0
2015-08-31,528.0,528.0
2015-09-30,529.0,529.0
2015-10-31,530.0,530.0
2015-11-30,532.9,532.9
2015-12-31,535.9,535.9
2016-01-31,539.8,539.8
2016-02-29,542.8,542.8
2016-03-31,543.0,543.0
2016-04-30,543.0,543.0
2016-05-31,542.0,542.0
2016-06-30,541.0,541.0
2016-07-31,542.0,542.0
2016-08-31,543.0,543.0
2016-09-30,543.9,543.9
2016-10-31,544.0,544.0
2016-11-30,545.9,545.9
2016-12-31,546.0,546.0
2017-01-31,546.9,546.9
2017-02-28,548.9,548.9
2017-03-31,552.8,552.8
2017-04-30,554.9,554.9
2017-05-31,555.0,555.0
2017-06-30,554.0,554.0
2017-07-31,555.0,555.0
2017-08-31,556.0,556.0
2017-09-30,556.0,556.0
2017-10-31,556.9,556.9
2017-11-30,558.9,558.9
2017-12-31,559.0,559.0
2018-01-31,560.9,560.9
2018-02-28,562.8,562.8
2018-03-31,563.0,563.0
2018-04-30,563.9,563.9
2018-05-31,563.0,563.0
2018-06-30,564.0,564.0
2018-07-31,564.0,564.0
2018-08-31,565.9,565.9
2018-09-30,566.0,566.0
2018-10-31,565.0,565.0
2018-11-30,566.9,566.9
2018-12-31,568.9,568.9
2019-01-31,569.0,569.0
2019-02-28,569.0,569.0
2019-03-31,570.0,570.0
2019-04-30,570.0,570.0
2019-05-31,568.1,568.1
2019-06-30,568.9,568.9
2019-07-31,569.0,569.0
